id	price	title	description	image_link	link	brand	condition	shipping	adwords_publish	adwords_labels	availability
AD 001 000 149	1850	Adelta Pastil Chair	"Ein Jahr nachdem er den Pastil Chair entworfen hatte, erhielt Eero Aarnio 1968 den American Industrial Award f¸r diesen Sessel. Die New York Times schrieb zu dieser Zeit ¸ber den Kugelsessel und den Pastil Chair: ""die komfortabelsten Formen um einen menschlichen Kˆrper zu st¸tzen"" und das Conrans Design Lexikon sagt: ""sie erscheinen wie Essays aus einer neuen Zeit, vielleicht von Barbarella"".<br><ul><li> Sessel von Adelta</li><li> Fiberglas</li><li> B/T/H: 93 x 93 x 52 cm</li><li> Als Outdoormˆbel geeignet</li></ul>"	http://www.smow.de/out/pictures/1/adelta-pastil_p1.jpg	http://www.smow.de/index.php?cl=details&anid=49cccc6a3819a20e90e8ad61104ca8a7&cnid=def7dde6273495994441c3fd521ab6e3	Adelta	new	DE:::0	true	Adelta	available for order
AD 002 000 150	3300	Adelta Formula Chair	Der Formula Chair - sagt Eero Aarnio - ist einer der besten Sessel, den er je entworfen hat. Leicht von hinten nach vorne schaukelnd ist es der perfekte Sessel um nach einem harten Arbeitstag mit einem erfrischenden Drink zu entspannen.<br><ul><li> Sessel von Adelta</li><li> Fiberglas</li><li> B/T/H: 130 x 128 x 81 cm</li></ul>	http://www.smow.de/out/pictures/1/adelta-formula_p1.jpg	http://www.smow.de/index.php?cl=details&anid=49c07bcd6c4108c40bba749911a2bba0&cnid=def7dde6273495994441c3fd521ab6e3	Adelta	new	DE:::0	true	Adelta	available for order
